9991112,1611661,0.0105238008555566
9991114,0564155,0.00137700194898737
9991114,1611661,0.0106240996525718
9991114,P0001061,0.0106770612659944
9993004,0225047,0.0190646605549295
9993004,0100301,9.89857765053452E-05
9993004,0200371,0.00019797155301069
9993004,0108014,0.000019797155301069
9993004,0108035,0.000019797155301069
9993004,0215150,0.000296957329516036
9993004,P0000863,0.00051777175402796
9993004,P0000955,0.00998994913653946
9995020,P0001035,0.00584894391675376
9995020,0564136,0.00136676352693902
9995020,1611661,0.0105206335350937
9995024,7010543,0.0055650072345094
9995024,0564171,0.00136740177762231
9995024,1611661,0.0100011130014469
9995026,1014705,0.000419901399671332
9995026,1617532,0.00997336657788859
9995026,0225047,0.0148359494531648
9995026,0209664,0.00102000340001133
9995026,0202647,0.000170000566668556
9995026,0228394,1.70000566668556E-05
9995026,0200321,2.21000736669122E-05
9995026,0200371,0.000340001133337111
9995026,0237384,0.000170000566668556
9995026,0108063,0.000255000850002833
9995026,0214820,0.000170000566668556
9995027,7010543,0.00570895957124549
9995027,P0001027,0.00144471629966212
9995027,1611661,0.00808575090294769
9997253,P0001046,0.0115875580231182
9997253,0564141,0.00136524984072085
9997253,1611661,0.0105238008555566
9997256,P0001070,0.0113116392714349
9997256,0564143,0.00136605952909818
9997256,1611661,0.0105175477565526
9997290,P0001042,0.0108646446355817
9997290,0564152,0.00137963741404212
9997290,1611661,0.0106275194550432
9997291,P0001109,0.0108646446355817
9997291,0564156,0.00137963741404212
9997291,1611661,0.0106275194550432
9997729,0225047,0.016300970027881
9997729,0138041,0.000283166821561338
9997729,0209664,0.00113266728624535
9997729,0214337,0.00036811686802974
9997729,0214820,0.000188777881040892
9997729,0221316,0.000188777881040892
9997729,0202647,0.000377555762081784
9997729,0228389,3.77555762081784E-05
9997729,P0001029,0.000522769516728624
9997729,1617532,0.0101940055762082
9997730,P0001036,0.00584894391675376
9997730,0564139,0.00136676352693902
9997730,1611661,0.0105206335350937
9997734,P0001069,0.00590571726777224
9997734,0564138,0.00136843325988635
9997734,1611661,0.0105183810738722
9997740,0225047,0.0153757351339577
9997740,0209664,0.000755100559064837
9997740,0202647,0.000377550279532419
9997740,0237376,0.000188775139766209
9997740,0207291,9.43875698831046E-05
9997740,0226353,0.000188775139766209
9997740,0226406,9.43875698831046E-05
9997740,0201738,0.000377550279532419
9997740,0237360,0.000188775139766209
9997740,0228969,0.000188775139766209
9997740,0209627,9.43875698831046E-05
9997740,0209629,0.000188775139766209
9997740,0209628,0.000377550279532419
9997740,0108060,0.000188775139766209
9997740,0206242,9.43875698831046E-06
9997740,0237375,9.43875698831046E-05
9997740,0237374,9.43875698831046E-05
9997740,1014702,0.000508240760909025
9997740,1617532,0.010201118129674
9997762,0108035,0.000018673561520151
9997762,0108055,0.000018673561520151
9997762,0108067,9.33678076007552E-05
9997762,0108082,4.66839038003776E-05
9997762,0108112,0.00018673561520151
9997762,0209664,0.00112041369120906
9997762,0225047,0.017189013379299
9997762,P0001051,0.000513009931872281
9997762,1617532,0.0101986374456209
9997765,P0001037,0.00584894391675376
9997765,P0001235,0.00136676352693902
9997765,1611661,0.0105206335350937
9997884,1718366,1.02040173916465
9997884,1038261,1.02040173916465
9997884,1611661,0.0102008695823251
9997884,1027095,1
9997884,P0001060,0.0100188868559287
9998001,7010535,0.00600225084406653
9998001,0564167,0.00138147043236452
9998001,1611661,0.0106289858697011
9998002,7010537,0.00600225084406653
9998002,0564165,0.00138147043236452
9998002,1611661,0.0106289858697011
9998003,7010536,0.00600225084406653
9998003,0564166,0.00138147043236452
9998003,1611661,0.0106289858697011
9998004,7010534,0.00600225084406653
9998004,0564168,0.00138147043236452
9998004,1611661,0.0106289858697011
9998005,7010521,0.00389298373103561
9998005,0564164,0.00129766124367854
9998005,P0000545,0.0100031143869848
9998006,7010519,0.00389298373103561
9998006,P0000545,0.0100031143869848
9998006,0564163,0.00129766124367854
9998007,7010522,0.00336
9998007,0564161,0.0013632
9998007,P0000545,0.02
9998008,7010520,0.00336
9998008,0564162,0.0013632
9998008,P0000545,0.02
P0000211,P0001048,0.132231404958678
P0000211,P0000733,1.06283615374524
P0000211,P0000215,0.0663780663780664
P0000517,0237426,0.1
P0000517,0237410,0.1
P0000517,0226376,0.035
P0000517,0108008,0.0015
P0000517,0108157,0.001
P0000517,0237369,0.01
P0000517,0108077,0.03
P0000517,0228985,0.05
P0000517,0210309,0.1
P0000517,0108088,0.005
P0000517,0108014,0.0005
P0000517,0108035,0.003
P0000517,0108015,0.002
P0000517,0226402,0.0035
P0000517,0214820,0.01
P0000517,0223043,0.002
P0000517,0108063,0.005
P0000519,P0000517,0.159531143946118
P0000519,1716359,1.05195008614838
P0000519,P0000755,1.11507335665431
P0000519,P0000753,1.11507335665431
P0000519,P0000271,1.05195008614838
P0000519,1014693,1.11507335665431
P0000519,1611503,0.0657338275988096
P0000520,P0000517,0.00599657338663621
P0000520,P0000816,0.00136593522405459
P0000520,1611661,0.010521233816317
P0000521,0225047,0.078543
