16700096;16700720;1.11520244461421
16700096;16700721;0.0656990068754775
16700097;16700735;0.066790370058873
16700097;16700736;0.00328006728343145
16700097;16700737;0.00164003364171573
16700097;16700804;0.000820016820857864
16700097;16700587;0.000410008410428932
16700097;16700805;0.000820016820857864
16700097;16700574;0.000410008410428932
16700097;16700806;0.00164003364171573
16700097;16700807;0.000820016820857864
16700097;16700808;0.000820016820857864
16700097;16700582;0.000410008410428932
16700097;16700809;0.000820016820857864
16700097;16700810;0.00164003364171573
16700097;16700571;0.000820016820857864
16700097;16700811;4.10008410428932E-05
16700097;16700812;0.000410008410428932
16700097;16700813;0.000410008410428932
16700097;16700740;0.00044435099523409
16700097;16700814;1.04001962433417
16700097;16700742;0.0277544154751892
16700097;16700735;0.0740512083300956
16700097;16700736;0.00363664620405626
16700097;16700737;0.00181832310202813
16700097;16700804;0.000909161551014065
16700097;16700587;0.000454580775507032
16700097;16700805;0.000909161551014065
16700097;16700574;0.000454580775507032
16700097;16700806;0.00181832310202813
16700097;16700807;0.000909161551014065
16700097;16700808;0.000909161551014065
16700097;16700582;0.000454580775507032
16700097;16700809;0.000909161551014065
16700097;16700810;0.00181832310202813
16700097;16700571;0.000909161551014065
16700097;16700811;4.54580775507032E-05
16700097;16700812;0.000454580775507032
16700097;16700813;0.000454580775507032
16700097;16700740;0.000543942808299013
16700097;16700814;1.02035900225348
16700097;16700742;0.02836273214702
16700098;16700318;0.152638464893153
16700098;16700796;1.03096380287833
16700098;16700803;1.03096380287833
16700098;16700815;1.09289140863498
16700098;16700816;1.09289140863498
16700098;16700720;1.07210350341619
16700098;16700721;0.0643988951882541
16700098;16700318;0.157103192966219
16700098;16700796;1.06830643897854
16700098;16700719;1.05182785747339
16700098;16700815;1.115070183557
16700098;16700816;1.115070183557
16700098;16700720;1.115070183557
16700098;16700721;0.0657103192966219
16700099;16700050;0.250283058220607
16700099;16700727;1
16700099;16700817;1.06000834276861
16700099;16700818;1.06000834276861
16700099;16700819;1
16700099;16700720;1.02002264465765
16700099;16700726;0.0625111733508134
16700100;16700050;0.063
16700100;16700820;1.04533333333333
16700100;16700821;1.09093333333333
16700100;16700822;1.09093333333333
16700100;16700823;1.04533333333333
16700101;16700309;0.155607048278672
16700101;16700796;1.05199633326543
16700101;16700719;1.05199633326543
16700101;16700825;1.11509472397637
16700101;16700826;1.11509472397637
16700101;16700720;1.11509472397637
16700101;16700721;0.0657465878997759
16700102;16700309;0.0663046223793887
16700102;16700827;1.01035615054307
16700102;16700715;0.0647259408941652
16700102;16700309;0.0673165895571712
16700102;16700827;1.05194976867151
16700102;16700715;0.0657633840052875
16700103;16700819;1
16700103;16700727;1
16700103;16700828;1.06000834276861
16700103;16700829;1.06000834276861
16700103;16700726;0.0625111733508134
16700103;16700720;1.02002264465765
16700103;16700051;0.250283058220607
16700104;16700830;1
16700104;16700098;1
16700104;16700099;1
16700105;16700831;1
16700105;16700097;2
16700106;16700832;1.06291542516617
16700106;16700833;1.06291542516617
16700106;16700734;0.0664107265642906
16700106;16700066;0.0577584231033692
16700106;16700832;1.05002987669075
16700106;16700833;1.00499755554348
16700106;16700734;0.0625237655494595
16700106;16700066;0.0553261991417242
16700107;16700834;1.06291542516617
16700107;16700835;1.06291542516617
16700107;16700734;0.0664107265642906
16700107;16700063;0.0577584231033692
16700107;16700834;1.05557716889902
16700107;16700835;1.00500194520091
16700107;16700734;0.0625243150113933
16700107;16700063;0.0566053465236481
16700108;16700836;1.06291542516617
16700108;16700837;1.06291542516617
16700108;16700734;0.0664107265642906
16700108;16700064;0.0577584231033692
16700108;16700836;1.04998907342657
16700108;16700837;1.00497159090909
16700108;16700734;0.0625
16700108;16700064;0.0556435751748252
16700109;16700838;1.06291542516617
16700109;16700839;1.06291542516617
16700109;16700734;0.0664107265642906
16700109;16700065;0.0577584231033692
16700109;16700838;1.04999164019395
16700109;16700839;1.00496015159115
16700109;16700734;0.0624756172323469
16700109;16700065;0.0567630830964722
16700110;16700840;0.054945054945055
16700110;16700841;1.07734170591313
16700110;16700842;1.0465724751439
16700110;16700843;0.0855049712192569
16700110;16700844;1.02564102564103
16700110;16700840;0.0577584231033692
16700110;16700841;1.06291542516617
16700110;16700842;1.06291542516617
16700110;16700843;0.0885858354343342
16700110;16700844;1.06291542516617
16700110;16700840;0.0551643828196934
16700110;16700841;1.04999187564318
16700110;16700842;1.00498293885067
16700110;16700843;0.0833559009911715
16700110;16700844;1
16700111;16700845;0.054945054945055
16700111;16700846;1.07734170591313
16700111;16700847;1.0465724751439
16700111;16700843;0.0855049712192569
16700111;16700844;1.02564102564103
16700111;16700845;0.0577584231033692
16700111;16700843;0.0885858354343342
16700111;16700846;1.06291542516617
16700111;16700847;1.06291542516617
16700111;16700844;1.06291542516617
16700111;16700845;0.0551643828196934
16700111;16700843;0.0833559009911715
16700111;16700846;1.04999187564318
16700111;16700847;0.100471212695662
16700111;16700844;1
16700112;16700848;0.0199982399788797
16700112;16700849;0.0199982399788797
16700112;16700850;0.00499405992871914
16700112;16700851;1.11998943987328
16700112;16700852;1.12729352752233E-07
16700112;16700853;2.42002904034848E-05
16700112;16700854;6.90808289699476E-06
16700112;16700855;2.70603247238967E-06
16700113;16700856;1.12001720060202
16700113;16700857;0.100021500752526
16700113;16700858;0.0199956998494947
16700113;16700859;0.0199956998494947
16700113;16700860;0.00498817458611051
16700113;16700855;1.32272629542034E-07
16700113;16700852;2.20167705869705E-08
16700113;16700853;9.46033111158891E-06
16700113;16700854;1.72006020210707E-06
16700114;16700313;0.00540223498178675
16700114;16700861;0.00136342120968904
16700114;16700862;0.0100018521948509
16700114;16700313;0.00579213809192721
16700114;16700861;0.00137908049807791
16700114;16700862;0.0106304121726839
16700115;16700863;0.0013810009761292
16700115;16700862;0.010626497470938
16700115;16700278;0.00559055816842666
16700116;16700735;0.0153018030180302
16700116;16700736;0.001170011700117
16700116;16700737;0.0001950019500195
16700116;16700663;0.00001950019500195
16700116;16700738;0.000025350253502535
16700116;16700653;0.000390003900039
16700116;16700739;0.001950019500195
16700116;16700650;0.00025350253502535
16700116;16700611;0.0001950019500195
16700116;16700864;0.000480004800048
16700116;16700734;0.00999009990099901
16700116;16700735;0.0156138289934375
16700116;16700736;0.00119386993705397
16700116;16700737;0.000198978322842329
16700116;16700663;1.98978322842329E-05
16700116;16700738;2.58671819695027E-05
16700116;16700653;0.000397956645684658
16700116;16700739;0.00198978322842329
16700116;16700650;0.000258671819695027
